898 6 3 10
259	119606.0653 0	10 0	1 1	10 0	90 18	93
0	28490	6	1	4	2	61
1	23310	4	1	8	25	60
0	51800	5	1	5	0	57
1	8417.5	6	1	5	2	57
1	42735	6	0	6	3	34
1	28490	6	1	5	0	49
0	34965	8	0	3	10	32
1	72520	3	1	5	8	49
0	119606.0653	9	1	2	5	69
0	34965	8	0	6	1	33
1	42735	3	0	2	6	25
1	62160	8	1	5	1	60
1	62160	9	1	3	2	62
1	7122.5	5	1	4	2	71
1	11007.5	1	1	4	1	45
0	16835	9	0	5	15	25
1	34965	5	0	5	40	30
1	1813	6	1	5	4	64
1	28490	6	1	5	1	45
0	259	6	0	6	3	27
0	34965	6	1	7	7	72
1	23310	5	1	4	1	53
2	23310	9	1	7	1	39
1	72520	5	1	5	1	45
2	72520	6	1	4	22	56
1	34965	8	1	6	30	46
0	119606.0653	7	0	5	20	49
0	51800	6	0	5	1	41
2	34965	6	1	5	0	59
1	19425	8	1	6	2	80
0	72520	6	1	5	0	40
1	1036	2	1	8	30	43
2	42735	10	1	3	0	68
1	1036	5	1	7	0	30
0	34965	5	0	5	25	49
2	34965	7	1	5	7	69
2	119606.0653	7	1	3	55	51
1	119606.0653	7	1	7	25	46
2	42735	5	1	8	2	40
2	51800	6	0	5	0	55
2	8417.5	7	1	5	2	35
0	12302.5	4	1	5	0	40
2	34965	9	1	3	3	53
1	11007.5	4	1	3	7	27
0	51800	9	1	3	0	72
1	14245	3	1	3	0	22
1	19425	6	1	5	20	44
0	28490	5	1	5	0	43
0	51800	7	1	5	2	34
2	119606.0653	8	1	3	5	47
0	62160	8	1	3	6	62
1	5827.5	6	0	6	1	35
0	16835	4	1	5	7	34
0	23310	3	1	6	1	35
1	28490	6	1	3	10	54
0	28490	8	0	6	15	29
2	7122.5	5	1	6	20	28
0	12302.5	5	1	4	0	54
1	23310	1	1	7	9	48
1	3367	6	0	5	2	21
0	42735	5	0	3	4	29
1	28490	8	1	9	30	40
1	16835	10	0	4	1	64
0	51800	8	1	3	2	33
0	8417.5	8	0	4	15	29
0	34965	8	0	3	3	25
2	12302.5	6	1	10	1	34
0	7122.5	6	0	4	12	24
1	14245	10	0	3	10	25
0	51800	7	1	4	60	35
1	4662	7	0	6	1	21
1	51800	10	1	4	2	53
1	119606.0653	6	1	5	0	67
0	62160	10	1	5	4	63
2	119606.0653	7	1	2	1	79
0	16835	4	0	7	1	34
0	23310	8	0	7	0	44
0	42735	5	1	5	5	57
1	259	6	0	10	10	27
0	72520	7	1	4	7	37
1	16835	8	1	5	7	33
1	2331	2	1	5	1	56
1	7122.5	3	1	5	0	55
2	16835	10	0	6	1	52
1	119606.0653	8	0	5	24	35
0	119606.0653	9	1	5	20	40
1	119606.0653	10	1	3	20	59
2	51800	5	1	7	3	52
1	34965	9	1	5	1	52
0	51800	6	1	4	1	43
2	23310	8	0	5	3	39
1	42735	10	1	5	5	58
1	34965	10	1	4	1	43
0	42735	6	1	5	5	72
1	62160	6	1	5	3	58
1	51800	6	0	3	2	50
1	28490	9	1	6	25	57
1	119606.0653	8	1	4	0	52
0	119606.0653	7	1	10	21	69
1	14245	9	0	10	3	47
1	119606.0653	6	1	4	30	52
1	12302.5	5	1	8	10	28
1	119606.0653	7	0	3	20	37
1	51800	7	1	6	3	61
0	119606.0653	6	1	5	1	46
2	34965	7	1	5	1	47
2	62160	5	1	5	2	44
1	16835	7	1	8	2	46
1	259	7	0	4	20	25
0	72520	7	1	4	10	56
0	62160	10	1	3	2	63
2	23310	3	1	4	1	31
2	28490	6	1	6	90	39
1	14245	6	0	5	0	38
2	28490	4	0	5	0	49
2	51800	7	1	4	10	53
1	9712.5	7	1	10	1	28
0	119606.0653	7	1	7	3	72
0	42735	5	1	5	2	67
1	119606.0653	6	1	3	20	61
0	62160	8	1	5	50	40
0	23310	8	0	5	2	45
0	34965	4	1	7	1	47
0	19425	5	1	4	20	37
0	28490	6	0	5	2	43
0	19425	6	0	6	30	39
1	42735	10	1	5	1	55
0	16835	3	1	3	4	64
1	4662	3	0	7	1	37
0	34965	4	1	5	20	69
1	119606.0653	7	0	3	36	27
2	3885	2	1	3	5	79
0	19425	5	0	7	1	29
1	34965	6	1	6	1	32
0	34965	10	1	3	1	66
2	14245	6	1	7	12	40
0	51800	10	0	3	0	80
2	42735	8	1	4	20	56
0	28490	4	0	10	5	20
1	23310	6	0	3	40	26
1	19425	2	1	2	4	41
0	51800	3	1	10	1	27
1	28490	3	1	5	0	51
0	62160	10	1	3	3	51
1	3367	7	1	5	1	53
0	7122.5	10	1	3	1	66
0	11007.5	6	1	5	0	18
0	34965	9	0	4	3	58
0	5827.5	4	1	3	0	53
0	34965	4	1	6	0	55
0	4662	6	1	10	2	66
1	11007.5	3	1	8	1	59
0	23310	6	1	10	1	45
0	34965	6	1	6	15	58
0	23310	6	1	5	7	42
0	28490	7	1	5	0	69
2	42735	4	1	7	1	53
0	9712.5	10	0	5	6	65
0	8417.5	6	1	5	0	20
0	19425	6	0	3	3	47
0	14245	4	1	7	0	58
0	7122.5	3	0	7	1	20
0	1813	6	1	10	1	51
1	8417.5	2	0	5	0	44
0	34965	5	1	3	0	72
1	16835	6	1	5	8	43
0	16835	6	0	7	0	32
